type,name,bloat,waste
index,public.cities::cities_name_key,2.0,8192 bytes
index,public.cities::cities_pkey,2.0,8192 bytes
index,public.cities::idx_cities_lat,2.0,8192 bytes
index,public.cities::idx_cities_lng,2.0,8192 bytes
index,public.event_attendance::event_attendance_pkey,2.0,8192 bytes
index,public.events::events_pkey,2.0,8192 bytes
index,public.events::idx_events_series_id,2.0,8192 bytes
index,public.events::idx_events_sponsored,2.0,8192 bytes
index,public.events::idx_events_sponsored_until,2.0,8192 bytes
index,public.events::idx_events_venue_city,2.0,8192 bytes
index,public.events::idx_events_venue_status,2.0,8192 bytes
index,public.likes::idx_likes_liked,2.0,8192 bytes
index,public.likes::idx_likes_liker,2.0,8192 bytes
index,public.likes::idx_likes_liker_liked_created,2.0,8192 bytes
index,public.likes::likes_liker_liked_context_event_id_key,2.0,8192 bytes
index,public.likes::likes_pkey,2.0,8192 bytes
index,public.match_reads::idx_match_reads_user,2.0,8192 bytes
index,public.match_reads::match_reads_pkey,2.0,8192 bytes
index,public.matches::idx_matches_user_a,2.0,8192 bytes
index,public.matches::idx_matches_user_b,2.0,8192 bytes
index,public.matches::idx_matches_users,2.0,8192 bytes
index,public.matches::matches_pkey,2.0,8192 bytes
index,public.matches::matches_user_a_user_b_key,2.0,8192 bytes
index,public.matches::uniq_matches_pair,2.0,8192 bytes
index,public.messages::idx_messages_match_created,2.0,8192 bytes
index,public.messages::messages_client_msg_id_key,2.0,8192 bytes
index,public.messages::messages_pkey,2.0,8192 bytes
index,public.profile_prompt_templates::idx_prompt_templates_active_order,2.0,8192 bytes
index,public.profile_prompt_templates::profile_prompt_templates_key_key,2.0,8192 bytes
index,public.profile_prompt_templates::profile_prompt_templates_pkey,2.0,8192 bytes
table,public.profile_prompt_templates,2.0,8192 bytes
table,public.uniq_matches_pair,2.0,8192 bytes
index,public.profiles::profiles_seeking_gin,1.5,8192 bytes
index,public.profiles::profiles_interested_in_gin,1.5,8192 bytes
index,public.cities::cities_slug_country_uidx,0.0,8192 bytes
index,public.profile_prompts::profile_prompts_pkey,1.0,0 bytes
table,public.user_photos,1.0,0 bytes
table,public.profiles,1.0,0 bytes
index,public.profile_prompts::idx_profile_prompts_profile,1.0,0 bytes
index,public.user_photos::user_photos_unique_user_order,1.0,0 bytes
table,public.cities,1.0,0 bytes
table,public.event_attendance,1.0,0 bytes
table,public.events,1.0,0 bytes
table,public.likes,1.0,0 bytes
table,public.match_reads,1.0,0 bytes
table,public.matches,1.0,0 bytes
table,public.messages,1.0,0 bytes
table,public.profile_prompts,1.0,0 bytes
index,public.profile_prompts::profile_prompts_profile_id_prompt_id_key,1.0,0 bytes
index,public.profiles::idx_profiles_calculated_age,1.0,0 bytes
index,public.profiles::profiles_gender_idx,1.0,0 bytes
index,public.profiles::profiles_pkey,1.0,0 bytes
index,public.profiles::profiles_updated_at_idx,1.0,0 bytes
index,public.user_photos::idx_user_photos_user_sort,1.0,0 bytes
index,public.user_photos::user_photos_pkey,1.0,0 bytes
table,public.prompt_interactions,0.9,0 bytes
index,public.prompt_interactions::prompt_interactions_pkey,0.5,0 bytes
index,public.prompt_interactions::prompt_interactions_user_time_idx,0.5,0 bytes
index,public.prompt_interactions::prompt_interactions_action_idx,0.3,0 bytes
index,public.event_checkins::idx_event_checkins_event,0.0,0 bytes
table,public.event_checkins,0.0,0 bytes
index,public.event_checkins::event_checkins_pkey,0.0,0 bytes
index,public.event_checkins::idx_event_checkins_user,0.0,0 bytes
index,public.event_checkins::idx_event_checkins_last_seen,0.0,0 bytes
